Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,21,Theft,1A50,Restaurant or Cafeteria Parking Lot,3900-3999,RICHMOND,AVE,-,1
1/1/16,21,Theft,1A50,Restaurant or Cafeteria Parking Lot,3900-3999,SOUTHWEST,FWY,-,1
1/1/16,18,Theft,1A50,Restaurant or Cafeteria Parking Lot,2900-2999,SOUTHWEST,FWY,-,1
1/1/16,18,Theft,1A50,"Furniture, Appliances, Radios, TV Store",3600-3699,SOUTHWEST,FWY,-,1
1/1/16,15,Theft,1A50,"Hotel, Motel, Inn, Etc.",2500-2599,LOOP,-,W,1
1/1/16,15,Theft,20G10,"Gym, Recreat, Club House, Indoor Pool, Spa",10300-10399,WESTHEIMER,RD,-,1
1/1/16,21,Robbery,20G10,Apartment Parking Lot,6500-6599,RANCHESTER,DR,-,1
1/1/16,0,Robbery,20G10,Apartment Parking Lot,9200-9299,CLAREWOOD,DR,-,1
1/1/16,11,Theft,20G20,Apartment Parking Lot,1400-1499,LAKESIDE ESTATES,DR,-,1
1/1/16,11,Burglary,20G20,"Hotel, Motel, Inn, Etc.",2400-2499,ROGERDALE,RD,-,1
1/1/16,21,Robbery,20G30,Restaurant or Cafeteria,10900-10999,WESTHEIMER,RD,-,1
1/1/16,17,Theft,20G30,Miscellaneous Business (Non-Specific),12000-12099,WESTHEIMER,RD,-,1
1/1/16,9,Theft,20G40,Convenience Store,11100-11199,BRIAR FOREST,DR,-,1
1/1/16,7,Theft,20G40,Convenience Store,11100-11199,BRIAR FOREST,DR,-,1
1/1/16,2,Rape,20G50,Residence or House,200-299,MAYERLING,DR,-,1
1/1/16,10,Theft,20G50,Mall Common Area,12100-12199,BARRYKNOLL,LN,-,1
1/1/16,11,Theft,20G50,Restaurant or Cafeteria Parking Lot,11200-11299,KATY,FWY,-,1
1/1/16,11,Theft,20G50,Commercial Parking Lot or Garage,700-799,TOWN AND COUNTRY,BLVD,-,1
1/1/16,13,Theft,20G50,Residence or House,13300-13399,BARRYKNOLL,LN,-,1
1/1/16,15,Theft,20G50,Department or Discount Store,300-399,MEMORIAL CITY,WAY,-,1
1/1/16,20,Theft,20G50,Mall Common Area,300-399,MEMORIAL CITY,WAY,-,1
1/1/16,21,Theft,20G60,Restaurant or Cafeteria Parking Lot,12100-12199,KATY,FWY,-,2
1/1/16,17,Theft,20G70,Apartment Parking Lot,3900-3999,SYNOTT,-,-,1
1/1/16,10,Robbery,20G70,Apartment Parking Lot,12700-12799,BRANT ROCK,DR,-,1
1/1/16,0,Burglary,20G70,Apartment,12900-12999,BRANT ROCK,DR,-,1
1/1/16,8,Auto Theft,20G70,Bar or Night Club Parking Lot,12900-12999,WESTHEIMER,RD,-,1
1/1/16,12,Theft,20G80,Department or Discount Store,800-899,WEST OAKS MALL,-,-,1
1/1/16,17,Theft,20G80,Convenience Store,13300-13399,WESTHEIMER,RD,-,1
1/1/16,17,Theft,20G80,Department or Discount Store,2500-2599,SH 6,-,-,1
1/1/16,16,Theft,20G80,"Parks and Recreation, Zoo, Swimming Pool",16700-16799,WESTHEIMER,PKWY,-,1
1/1/16,15,Theft,20G80,Apartment,1700-1799,ENCLAVE,PKWY,-,1
1/1/16,14,Burglary,20G80,Residence or House,13900-13999,HOLLOWGREEN,DR,-,1
1/1/16,12,Theft,21I50,Airport Terminal,3800-3899,TERMINAL,RD,N,1
1/1/16,19,Theft,21I60,Airport Terminal,3900-3999,TERMINAL,RD,S,1
1/1/16,11,Burglary,24C10,Garage or Carport,1700-1799,PALMETTO,LN,-,1
1/1/16,0,Aggravated Assault,24C20,Residence or House,2600-2699,FOLIAGE GREEN,LN,-,1
1/1/16,22,Auto Theft,24C50,Hospital Parking Lot,23000-23099,EASTEX,FWY,-,1
1/1/16,23,Aggravated Assault,2A10,"Road, Street, or Sidewalk",1100-1199,HOGAN,-,-,1
1/1/16,23,Aggravated Assault,2A10,Apartment,2900-2999,FULTON,ST,-,1
1/1/16,14,Theft,2A10,,3600-3699,COCHRAN,-,-,1
1/1/16,15,Theft,2A10,Restaurant or Cafeteria,3800-3899,IRVINGTON,BLVD,-,1
1/1/16,15,Aggravated Assault,2A10,Residence or House,1500-1599,MORRIS,-,-,1
1/1/16,16,Theft,2A10,Residence or House,1500-1599,MORRIS,-,-,1
1/1/16,10,Theft,2A10,Residence or House,2000-2099,KEENE,-,-,1
1/1/16,9,Theft,2A10,"Road, Street, or Sidewalk",2900-2999,COCHRAN,-,-,1
1/1/16,9,Theft,2A10,Grocery Store or Supermarket,4100-4199,FULTON,ST,-,1
1/1/16,19,Aggravated Assault,2A20,Residence or House,1000-1099,SUE,-,-,1
1/1/16,9,Theft,2A30,"Road, Street, or Sidewalk",400-499,OXFORD,ST,-,1
