Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
5/7/16,12,Theft,1A50,"Gym, Recreat, Club House, Indoor Pool, Spa",4400-4499,WESTHEIMER,RD,-,1
5/7/16,11,Theft,1A50,Commercial Parking Lot or Garage,3700-3799,WESLAYAN,-,-,1
5/7/16,18,Theft,1A50,Other Parking Lot,4700-4799,KIRBY,DR,-,1
5/9/16,16,Theft,1A50,Other Parking Lot,5200-5299,BUFFALO SPEEDWAY,-,-,1
5/9/16,9,Theft,1A50,Commercial Parking Lot or Garage,3800-3899,RICHMOND,AVE,-,1
5/9/16,6,Theft,1A50,Hotel or Motel Parking Lot,4900-4999,LOOP CENTRAL,-,-,1
5/9/16,7,Theft,1A50,Apartment,2100-2199,MID,-,-,1
5/9/16,7,Theft,1A50,Commercial Parking Lot or Garage,2600-2699,SOUTHWEST,FWY,-,1
5/9/16,7,Theft,1A50,"Gym, Recreat, Club House, Indoor Pool, Spa",2600-2699,SOUTHWEST,FWY,-,1
5/9/16,7,Theft,1A50,Other Parking Lot,5400-5499,WESLAYAN,-,-,1
5/6/16,15,Theft,1A50,Restaurant or Cafeteria Parking Lot,4600-4699,WESTHEIMER,RD,-,1
5/6/16,14,Theft,1A50,Other Parking Lot,2600-2699,WESTPARK,DR,-,1
5/6/16,18,Theft,1A50,"Gym, Recreat, Club House, Indoor Pool, Spa",3700-3799,RICHMOND,AVE,-,1
5/6/16,18,Theft,1A50,Commercial Parking Lot or Garage,3800-3899,RICHMOND,AVE,-,1
5/6/16,18,Theft,1A50,Commercial Parking Lot or Garage,3900-3999,RICHMOND,AVE,-,1
5/6/16,18,Theft,1A50,Service or Gas Station,3900-3999,SOUTHWEST,FWY,-,1
5/6/16,18,Theft,1A50,Restaurant or Cafeteria Parking Lot,4000-4099,RICHMOND,AVE,-,1
5/6/16,18,Theft,1A50,Restaurant or Cafeteria Parking Lot,4100-4199,RICHMOND,AVE,-,1
5/6/16,18,Theft,1A50,Service or Gas Station,4900-4999,WESLAYAN,-,-,1
5/6/16,11,Theft,1A50,Office Building,3700-3799,BUFFALO SPEEDWAY,-,-,1
5/6/16,4,Burglary,1A50,Miscellaneous Business (Non-Specific),3800-3899,NEWCASTLE,-,-,1
5/6/16,8,Theft,1A50,Commercial Parking Lot or Garage,3800-3899,RICHMOND,AVE,-,1
5/5/16,17,Theft,1A50,Restaurant or Cafeteria Parking Lot,2900-2999,SOUTHWEST,FWY,-,1
5/5/16,20,Theft,1A50,Restaurant or Cafeteria Parking Lot,2900-2999,SOUTHWEST,FWY,-,1
5/5/16,20,Theft,1A50,Office Building,3200-3299,SOUTHWEST,FWY,-,1
5/5/16,12,Theft,1A50,Restaurant or Cafeteria Parking Lot,3900-3999,SOUTHWEST,FWY,-,1
5/5/16,12,Theft,1A50,Restaurant or Cafeteria Parking Lot,5000-5099,DINCANS,ST,-,1
5/4/16,20,Burglary,1A50,Residence or House,3100-3199,NEWCASTLE,-,-,1
5/4/16,16,Theft,1A50,Miscellaneous Business (Non-Specific),3800-3899,RICHMOND,AVE,-,1
5/4/16,15,Theft,1A50,Residence or House,UNK,RIVER HOLLOW,LN,-,1
5/3/16,14,Theft,1A50,Office Building,4200-4299,SAN FELIPE,ST,-,1
5/1/16,9,Theft,1A50,Apartment Parking Lot,4100-4199,SOUTHWEST,FWY,-,1
5/2/16,13,Theft,1A50,"Road, Street, or Sidewalk",500-599,POST OAK,BLVD,-,1
5/2/16,19,Theft,1A50,Strip Business Center Parking Lot,3800-3899,RICHMOND,AVE,-,1
